Country,GDP per capita (EURO),Dwellings without basic facilities,Housing expenditure,Rooms per person,Household net adjusted disposable income,Household net wealth,Labour market insecurity,Employment rate,Long-term unemployment rate,Personal earnings,Quality of support network,Educational attainment,Student skills,Years in education,Air pollution,Water quality,Stakeholder engagement for developing regulations,Voter turnout,Life expectancy,Self-reported health,Feeling safe walking alone at night,Homicide rate,Employees working very long hours,Life satisfaction,University Score,Top University,Cluster
Japan,1.540362509148835,2.4710424710424714,6.893203883495147,5.333333333333332,3.613452606227421,2.562073088496808,0.6403940886699508,9.545454545454549,0.7407407407407407,4.191903991572928,6.315789473684211,8.076923076923077,9.454545454545457,2.0,3.761467889908257,6.451612903225806,0.9999999999999998,0.9302325581395348,10.0,0.5454545454545454,6.862745098039216,0.0,1.404494382022472,1.4285714285714275,7.739898989898989,The University of Tokyo,0
Portugal,1.1813837344469795,0.3474903474903474,4.75728155339806,3.999999999999999,2.468031423820173,2.108360087687136,3.3004926108374377,5.909090909090909,2.1296296296296293,2.291110191490162,5.263157894736842,2.5,6.909090909090909,4.0,1.284403669724771,7.096774193548388,1.5000000000000002,0.0,7.204301075268812,2.909090909090909,8.03921568627451,0.18796992481203,1.9850187265917605,0.0,2.3737373737373737,University of Lisbon ,0
Sweden,3.726697378051405,0.0,5.242718446601944,3.999999999999999,5.006307701129652,3.501514240077734,1.4778325123152711,8.636363636363637,0.9259259259259258,5.791730935630714,8.947368421052632,8.076923076923077,7.909090909090909,10.0,0.1376146788990825,9.67741935483871,4.0,8.837209302325581,8.709677419354838,7.636363636363637,7.254901960784314,0.3383458646616541,0.2247191011235955,7.142857142857141,5.66919191919192,KTH Royal Institute of Technology ,1
Norway,6.837818056572092,0.0,2.912621359223301,6.666666666666666,6.558575606399449,2.258573701644589,0.6896551724137931,8.636363636363637,0.8333333333333333,7.439524472367481,10.0,7.6923076923076925,7.363636363636363,6.0,0.5504587155963303,10.0,5.000000000000001,6.744186046511628,8.494623655913975,7.454545454545455,10.0,0.150375939849624,0.4119850187265917,7.142857142857141,4.457070707070707,University of Oslo,1
New Zealand,2.865802729581952,0.7206859421440169,10.0,8.666666666666666,6.524169963874076,5.086846942946593,1.5270935960591134,9.545454545454549,0.3703703703703703,5.462360332568376,9.473684210526317,7.5,7.909090909090909,6.0,0.2293577981651376,5.806451612903226,6.5,7.674418604651163,7.526881720430099,9.454545454545457,4.705882352941177,0.4135338345864661,5.131086142322098,7.142857142857141,6.174242424242424,The University of Auckland,1
Netherlands,4.17626038661902,0.0386100386100386,4.75728155339806,6.0,5.365846665519812,2.031222434070073,0.541871921182266,10.0,0.8333333333333333,8.012866333095069,8.947368421052632,7.5,7.818181818181818,8.0,3.073394495412844,7.741935483870968,7.000000000000001,6.976744186046512,7.634408602150538,7.454545454545455,8.03921568627451,0.150375939849624,0.0,8.095238095238095,7.095959595959595,Delft University of Technology,1
Luxembourg,10.0,0.0386100386100386,5.825242718446601,6.0,8.172486954527209,10.0,0.394088669950739,5.0,1.574074074074074,9.334487039614762,7.368421052631579,6.153846153846154,5.545454545454546,0.0,2.0642201834862384,5.806451612903226,2.5,9.534883720930234,8.172043010752688,6.909090909090909,8.823529411764707,0.0,0.9363295880149812,7.6190476190476195,1.426767676767677,University of Luxembourg,1
United Kingdom,3.084858139234512,0.193050193050193,8.252427184466018,6.0,4.811055679798153,5.204900690874855,0.9359605911330048,8.636363636363637,0.8333333333333333,5.815620179827697,8.421052631578947,7.6923076923076925,7.909090909090909,4.0,2.110091743119266,4.838709677419355,9.5,4.418604651162791,6.666666666666662,7.090909090909091,7.058823529411765,0.0,3.9325842696629216,4.761904761904761,9.81060606060606,Imperial College London,1
Ireland,7.819348172385585,0.0772200772200772,5.728155339805827,6.666666666666666,3.790068237857676,3.432011847352967,0.5911330049261084,5.454545454545454,1.1111111111111112,6.253338851059027,10.0,8.269230769230768,8.09090909090909,6.0,1.055045871559633,4.193548387096774,0.5000000000000004,3.2558139534883725,8.279569892473111,9.09090909090909,6.666666666666666,0.112781954887218,1.647940074906367,5.7142857142857135,5.315656565656565,"Trinity College Dublin, The University of Dublin",1
Australia,4.420717268695914,0.5788027493042321,4.563106796116504,4.666666666666666,6.068008486725156,5.254906693652265,0.8374384236453203,7.727272727272727,0.9259259259259258,7.331552612768519,8.421052631578947,8.076923076923077,7.545454545454545,10.0,0.5504587155963303,8.064516129032258,7.500000000000001,10.0,8.494623655913975,9.272727272727272,4.901960784313725,0.2631578947368421,4.569288389513108,6.190476190476188,8.59848484848485,The University of Melbourne,1
